CODE,NAME
0A,Amber Air
0B,Blue Air
0D,Darwin Airline
0J,Jetclub
0K,Air Kokshetau
1A,Amadeus Global Travel Distribution
1B,Abacus International
1C,EDS Information Business
1D,Radixx Solutions International
1E,TravelSky Technology Limited
1F,INFINI Travel Information
1G,
1H,Siren-Travel
1I,Netjets Aviation
1J,
1K,Sutra
1L,Open Skies
1M,JSC Transport Automated Information Systems (TAIS)
1N,Navitaire
1Q,Sirena
1R,
1S,Sabre
1T,1Time Airline
1U,Polyot Sirena
1Y,Electronic Data Systems Corporation
1Z,Sabre Pacific
2A,Deutsche Bahn
2C,SNCF
2D,Aero VIP
2F,Frontier Flying Service
2G,San Juan Airlines
2H,Thalys
2I,Star Up
2J,Air Burkina
2L,Helvetic Airways
2M,Moldovian Airlines
2N,Yuzmashavia
2O,Air Salone
2P,Air Philippines
2R VIA ,
2S,Island Express
2T,Haiti Ambassador Airlines
2U,Air Guinee Express
2V,Amtrak
2W,Welcome Air
3K,Jetstar Asia
3U,Sichuan Airlines
3A,
3Q,
4A,Air Kiribati
4D,Air Sinai
4K,Askari Aviation Pvt Limited
4L,Air Astana
4R,HI Hamburg International
4U,Germanwings
5C,CAL Cargo Air Lines
5D,V-Bird Airlines
5G,Skyservice Airlines
5J,Cebu Pacific Air
5L,Aerosur
5P,Skyeurope Airlines Hungary
5T,Canadian North/Air NorTerra Inc
5W,Astraeus
5X,UPS Airlines
5Y,Atlas Air
6B,TUIfly Nordic
6E,IndiGo
6G,
6H,El Al Israel Airlines/Israir Airlines
6J,Skynet Asia Airways
6P,Club Air
6U,
6V,Air Vegas
6W,Saratov
6Z,Panavia S.A.
7B,Krasnojarsky Airlines/Kras Air Airlines
7C,Jeju Air
7D,Donbassaero Airlines
7F,First Air
7G,Star Flyer
7K,Kogalymavia Airlines
7L,Sun d'Or International Airlines
8A,Atlas Blue
8B,Caribbean Star Airlines
8C,East Star Airline
8D,Expo Aviation
8E,Bering Air
8F,Fischer Air
8G,Angel Airlines
8H,Heli France
8I,Myway Airlines
8J,Komiinteravia
8L,Lucky Air
8M,Myanmar Airways International
8N,Nordkalottflyg AB
8O,West Coast Air
8P,Pacific Coastal Airlines
8Q,Onur Air/Baker Aviation
8R,Transporte Aereo Regional do Interior Paulista/Edelweiss Air
8S,Turbo Jet
8T,Air Tindi
8U,Afriqiyah Airways
8V,Wright Air
8W,BAX Global
8Y,Air Burundi
8Z,LASER
9C,Spring Airlines
9D,Perm Airlines
9E,Pinnacle Airlines/
9R,Phuket Air
9U,Air Moldova
9W,Jet Airways
A2,Cielos del Peru
A3,Aegean Airways
A4,Southern Winds
A5,Airlinair
A6,Air Alps Aviation
A7,Air Comet
A8,Benin Golf Air
A9,Airzena Georgian Airlines
AA,American Airlines
AB,Air Berlin
AC,Air Canada
AD,Air Paradise
AE,Mandarin Airlines
AF,Air France
AG,Air Contractors
AH,Air Algerie
AI,Air India
AJ,Aero Contractors
AK,AirAsia Berhad
AL,Skyway Airlines/
AM,Aeroméxico
AP,Air One
AQ,Aloha Airlines
AR,Aerolineas Argentinas S.A.
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Austral Lineas Aereas-Cielos del Sur
AV,Avianca
AW,Schreiner Airways
Dirgantara Air Services,
AX,Trans State Airlines/
AY,Finnair
AZ,Alitalia
B2,Belavia
B3,Bellview Airlines
B4,B.A.C.H. Flugbetriebs 
B5,Amadeus Flugdienst
B6,Jetblue Airways
B7,Uni Airways
B8,Eritrean Airlines
B9,Iran Air Tours
BA,British Airways
BB,Seaborne Airlines
BC,Skymark Airlines
BD,Bmi british midland
BE,FlyBE
BF,Bluebird Cargo
BG,Biman Bangladesh Airlines
BH,Hawkair Aviation
BI,Royal Brunei Airlines
BJ,Nouvelair Tunisia
BK,Okay Airways
BL,Pacific Airlines
BM,Bayu Indonesia Air
BN,Forward Air International Airlines
BO,
BP,Air Botswana
BQ,
BR,EVA Airways
BS,British International
BT,Air Baltic
BV,Blue Panorama Airlines
BW,Bwia West Indies
BX,Coast Air Ks
BY,Thomsonfly
BZ,Keystone Air Service
C0,Centralwings
C3,Independent Carrier
C4,Zimex Aviation Limited
C5,Champlain Enterprises
C6,Canjet Airlines
C7,Rico Linhas Aereas
C9,Cirrus Airlines
CA,Air China
CB,ScotAirways
CC,Air Atlanta Icelandic
CD,Alliance Air
CE,Nationwide Airlines
CF,City Airline
CG,Airline of Papua N G
CH,Bemidji Aviation
CI,China Airlines
CJ,
CK,China Cargo
CL,Lufthansa CityLine
CM,COPA
CN,Westward Airways
CO,Continental Airlines
CQ,Sunshine Express Airlines
CR,OAG Worldwide
CS,Micronesia
CU,Cubana de Aviación
CV,Cargolux Airlines International
CW,Air Marshall Islands
CX,Cathay Pacific Airways
CY,Cyprus Airways
CZ,China Southern Airlines
D2,Damania Airways
D3,Daallo Airlines
D5,Nepc Airlines
D6,Interair South Africa
D7,Dinar Lineas Aereas
D8,Diamond Sakha Airlines
D9,Donavia 
DA,
DB,
DC,Golden Air
